Barcode,SubSection,Artical,Size,Qty,MRP
2201DR951,FS-SHIRT,8213FC,XL,1,2599
2201DR917,FS-SHIRT,8213FC,L,1,2599
2209DR1016,FS-SHIRT,8724FC,L,1,2499
2211DR1981,FS-SHIRT,8776FL,XL,1,2499
2205DR6053,FS-SHIRT,8497FC,L,1,2599
2201DR2458,FS-SHIRT,8232FC,M,1,2599
2304DR13654,FS-SHIRT,8909FC,M,1,2999
2210DR1745,FS-SHIRT,8744FC,XL,1,2499
2210DR1780,FS-SHIRT,8744FC,XXL,1,2499
2209DR6374,FS-SHIRT,8715FC,L,1,2499
2209DR6395,FS-SHIRT,8715FC,XL,1,2499
2209DR6343,FS-SHIRT,8715FC,M,1,2499
2304DR11924,FS-SHIRT,8933FC,M,1,2999
2304DR11933,FS-SHIRT,8933FC,L,1,2999
2304DR11941,FS-SHIRT,8933FC,L,1,2999
2304DR11966,FS-SHIRT,8933FC,XL,1,2999
2209DR7137,FS-SHIRT,8737FC,M,1,2499
2210DR3801,FS-SHIRT,8722FC,XL,1,2499
2210DR3777,FS-SHIRT,8722FC,L,1,2499
2210DR3745,FS-SHIRT,8722FC,M,1,2499
2210DR3805,FS-SHIRT,8722FC,XXL,1,2499
2201DR4172,FS-SHIRT,8800FC,XL,1,2899
2201DR4173,FS-SHIRT,8800FC,XL,1,2899
2201DR4180,FS-SHIRT,8800FC,XXL,1,2899
2209DR1084,FS-SHIRT,8639FC,L,1,2499
2205DR2422,FS-SHIRT,8328FC,XL,1,2499
2205DR2089,FS-SHIRT,8326FC,XXL,1,2499
2201DR4269,FS-SHIRT,8802FC,M,1,2899
2208DR11562,FS-SHIRT,8716FC,L,1,2599
2209DR945,FS-SHIRT,8723FC,L,1,2499
2209DR965,FS-SHIRT,8723FC,XL,1,2499
2209DR988,FS-SHIRT,8723FC,XXL,1,2499
2209DR986,FS-SHIRT,8723FC,XXL,1,2499
23041428,FS-SHIRT,8961FC,XL,1,2999
23041417,FS-SHIRT,8961FC,L,1,2999
2205DR329,FS-SHIRT,8400FC,L,1,2499
23041411,FS-SHIRT,8961FC,M,1,2999
2304DR12044,FS-SHIRT,8934FC,XXL,1,2999
2304DR12037,FS-SHIRT,8934FC,XL,1,2999
2304DR12024,FS-SHIRT,8934FC,XL,1,2999
2304DR12030,FS-SHIRT,8934FC,XL,1,2999
2304DR12012,FS-SHIRT,8934FC,L,1,2999
2210DR6270,FS-SHIRT,8804FC,XXL,1,2599
2210DR6267,FS-SHIRT,8804FC,XL,1,2599
2208DR9433,FS-SHIRT,8582FC,L,1,2599
2304DR13732,FS-SHIRT,8907FC,L,1,2999
2208DR9459,FS-SHIRT,8582FC,XXL,1,2599
2307DR4270,FS-SHIRT,8915FC,XL,1,2999
2307DR4279,FS-SHIRT,8915FC,XXL,1,2999
2209DR1276,FS-SHIRT,8736FC,L,1,2499
2304DR11619,FS-SHIRT,8928FC,S,1,2999
2209DR1320,FS-SHIRT,8736FC,XXL,1,2499
2304DR14098,FS-SHIRT,8921FC,XL,1,2999
2209DR2489,FS-SHIRT,8695FC,L,1,2499
2209DR2528,FS-SHIRT,8695FC,XXL,1,2499
2210DR2277,FS-SHIRT,8633FC,L,1,2499
2210DR2288,FS-SHIRT,8633FC,XL,1,2499
2310DR4541,FS-SHIRT,9395F,M,1,2999
23101588,FS-SHIRT,9271F,M,1,2999
2210DR7201,FS-SHIRT,8796FC,XXL,1,2599
2210DR7136,FS-SHIRT,8796FC,L,1,2599
2211DR1320,FS-SHIRT,8696FC,L,1,2499
2211DR1368,FS-SHIRT,8696FC,XXL,1,2499
2211DR1342,FS-SHIRT,8696FC,XL,1,2499
2304DR6108,FS-SHIRT,8966FC,XXL,1,2999
2210DR893,FS-SHIRT,8740FC,XXL,1,2499
2209DR3690,FS-SHIRT,8764FC,L,1,2499
2209DR3719,FS-SHIRT,8764FC,XXL,1,2499
2304DR8318,FS-SHIRT,8978FC,M,1,2999
2304DR8326,FS-SHIRT,8978FC,L,1,2999
2304DR8337,FS-SHIRT,8978FC,XL,1,2999
2208DR11162,FS-SHIRT,8756FC,XL,1,2599
2209DR2866,FS-SHIRT,8761FC,XXL,1,2499
2304DR13823,FS-SHIRT,8908FC,L,1,2999
2304DR13793,FS-SHIRT,8908FC,M,1,2999
2304DR13832,FS-SHIRT,8908FC,XL,1,2999
2304DR6381,FS-SHIRT,8916FC,L,1,2999
2304DR6402,FS-SHIRT,8916FC,XL,1,2999
2304DR6415,FS-SHIRT,8916FC,XXL,1,2999
2304DR14331,FS-SHIRT,8943FC,L,1,2999
2304DR14285,FS-SHIRT,8941FC,XL,1,2999
2304DR14348,FS-SHIRT,8943FC,XL,1,2999
2304DR11831,FS-SHIRT,8931FC,XL,1,2999
2304DR11830,FS-SHIRT,8931FC,XL,1,2999
2304DR11729,FS-SHIRT,8929FC,XL,1,2999
